time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH,label,add_label,condition
15.0,549.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
16.0,548.0,154.0,515.0,318.0,25.0,34.0,beer,1,roomoffice
16.0,549.0,153.0,515.0,319.0,25.0,34.0,beer,1,roomoffice
16.0,549.0,154.0,515.0,318.0,25.0,34.0,beer,1,roomoffice
17.0,549.0,154.0,515.0,319.0,25.0,34.0,beer,1,roomoffice
955.0,548.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
1086.0,549.0,152.0,515.0,319.0,25.0,34.0,beer,1,roomoffice
1217.0,549.0,153.0,515.0,318.0,25.0,34.0,beer,1,roomoffice
1348.0,548.0,153.0,515.0,318.0,25.0,34.0,beer,1,roomoffice
1479.0,548.0,153.0,515.0,318.0,25.0,34.0,beer,1,roomoffice
1610.0,548.0,153.0,515.0,318.0,25.0,34.0,beer,1,roomoffice
1737.0,549.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
1868.0,548.0,153.0,515.0,319.0,25.0,34.0,beer,1,roomoffice
1999.0,548.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
2134.0,548.0,153.0,515.0,318.0,25.0,35.0,beer,1,roomoffice
2265.0,549.0,153.0,514.0,319.0,25.0,35.0,beer,1,roomoffice
2397.0,548.0,153.0,515.0,319.0,25.0,35.0,beer,1,roomoffice
2527.0,548.0,153.0,514.0,320.0,25.0,35.0,beer,1,roomoffice
2659.0,548.0,153.0,514.0,319.0,25.0,35.0,beer,1,roomoffice
2790.0,548.0,153.0,515.0,318.0,25.0,35.0,beer,1,roomoffice
2917.0,548.0,153.0,514.0,319.0,25.0,35.0,beer,1,roomoffice
3048.0,548.0,153.0,515.0,318.0,25.0,35.0,beer,1,roomoffice
3179.0,548.0,152.0,515.0,319.0,25.0,35.0,beer,1,roomoffice
3314.0,548.0,153.0,515.0,319.0,25.0,34.0,beer,1,roomoffice
3445.0,548.0,153.0,515.0,319.0,25.0,34.0,beer,1,roomoffice
3576.0,548.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
3707.0,548.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
3838.0,548.0,153.0,515.0,318.0,25.0,34.0,beer,1,roomoffice
3965.0,547.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
4096.0,548.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
4227.0,548.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
4359.0,548.0,153.0,515.0,318.0,25.0,34.0,beer,1,roomoffice
4494.0,547.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
4625.0,547.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
4756.0,547.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
4887.0,548.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
5014.0,548.0,153.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
5145.0,548.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
5276.0,547.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
5407.0,547.0,153.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
5538.0,547.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
5673.0,547.0,152.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
5804.0,547.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
5935.0,548.0,152.0,515.0,318.0,25.0,34.0,beer,1,roomoffice
6066.0,548.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
6193.0,547.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
6325.0,547.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
6456.0,548.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
6587.0,547.0,153.0,513.0,318.0,25.0,34.0,beer,1,roomoffice
6718.0,547.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
6853.0,547.0,152.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
6984.0,547.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
7115.0,546.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
7242.0,548.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
7373.0,548.0,152.0,514.0,320.0,25.0,34.0,beer,1,roomoffice
7504.0,547.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
7635.0,547.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
7766.0,547.0,153.0,514.0,320.0,25.0,34.0,beer,1,roomoffice
7897.0,547.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
8032.0,547.0,153.0,513.0,318.0,25.0,34.0,beer,1,roomoffice
8163.0,548.0,153.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
8294.0,547.0,152.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
8422.0,547.0,152.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
8553.0,547.0,153.0,513.0,318.0,25.0,34.0,beer,1,roomoffice
8684.0,547.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
8815.0,547.0,152.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
8946.0,547.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
9077.0,547.0,152.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
9212.0,547.0,152.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
9343.0,547.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
9470.0,547.0,153.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
9601.0,546.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
9732.0,547.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
9863.0,547.0,152.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
9994.0,547.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
10125.0,546.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
10257.0,547.0,152.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
10392.0,547.0,153.0,513.0,318.0,25.0,34.0,beer,1,roomoffice
10519.0,547.0,152.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
10650.0,546.0,153.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
10781.0,547.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
10912.0,547.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
11043.0,546.0,153.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
11174.0,546.0,153.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
11305.0,547.0,153.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
11436.0,546.0,153.0,513.0,318.0,25.0,34.0,beer,1,roomoffice
11571.0,547.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
11698.0,546.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
11830.0,546.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
11960.0,547.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
12092.0,547.0,153.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
12223.0,547.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
12354.0,547.0,153.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
12485.0,546.0,153.0,514.0,318.0,25.0,34.0,beer,1,roomoffice
12616.0,547.0,153.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
12747.0,547.0,152.0,514.0,320.0,25.0,34.0,beer,1,roomoffice
12878.0,546.0,152.0,514.0,320.0,25.0,34.0,beer,1,roomoffice
13009.0,546.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
13140.0,547.0,152.0,514.0,319.0,25.0,34.0,beer,1,roomoffice
13271.0,547.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
13402.0,547.0,153.0,514.0,320.0,25.0,34.0,beer,1,roomoffice
13533.0,546.0,153.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
13664.0,547.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
13795.0,547.0,153.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
13926.0,546.0,153.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
14058.0,546.0,153.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
14188.0,546.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
14320.0,546.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
14451.0,547.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
14582.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
14713.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
14844.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
14975.0,546.0,152.0,512.0,320.0,25.0,34.0,beer,1,roomoffice
15106.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
15237.0,546.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
15368.0,547.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
15499.0,546.0,152.0,512.0,320.0,25.0,34.0,beer,1,roomoffice
15630.0,546.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
15761.0,546.0,153.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
15892.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
16023.0,546.0,152.0,512.0,320.0,25.0,34.0,beer,1,roomoffice
16154.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
16286.0,546.0,151.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
16417.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
16548.0,546.0,153.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
16679.0,546.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
16810.0,546.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
16941.0,547.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
17072.0,546.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
17203.0,547.0,152.0,512.0,320.0,25.0,34.0,beer,1,roomoffice
17330.0,546.0,152.0,514.0,320.0,25.0,34.0,beer,1,roomoffice
17465.0,546.0,152.0,512.0,320.0,25.0,34.0,beer,1,roomoffice
17596.0,546.0,152.0,512.0,320.0,25.0,34.0,beer,1,roomoffice
17728.0,547.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
17859.0,546.0,152.0,512.0,320.0,25.0,34.0,beer,1,roomoffice
17989.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
18120.0,546.0,152.0,512.0,320.0,25.0,34.0,beer,1,roomoffice
18252.0,546.0,152.0,513.0,318.0,25.0,34.0,beer,1,roomoffice
18383.0,546.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
18510.0,546.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
18645.0,545.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
18776.0,546.0,152.0,512.0,320.0,25.0,34.0,beer,1,roomoffice
18907.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
19038.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
19169.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
19300.0,546.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
19431.0,546.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
19558.0,547.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
19689.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
19824.0,546.0,153.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
19955.0,546.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
20087.0,545.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
20218.0,545.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
20349.0,545.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
20480.0,545.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
20607.0,546.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
20738.0,546.0,152.0,512.0,320.0,25.0,34.0,beer,1,roomoffice
20869.0,546.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
21004.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
21135.0,545.0,152.0,513.0,321.0,25.0,34.0,beer,1,roomoffice
21266.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
21397.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
21528.0,545.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
21659.0,546.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
21787.0,546.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
21917.0,546.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
22048.0,545.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
22184.0,546.0,152.0,512.0,320.0,25.0,34.0,beer,1,roomoffice
22315.0,545.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
22446.0,546.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
22577.0,545.0,151.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
22708.0,545.0,151.0,512.0,320.0,25.0,34.0,beer,1,roomoffice
22835.0,546.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
22966.0,545.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
23097.0,546.0,152.0,512.0,319.0,25.0,34.0,beer,1,roomoffice
23228.0,545.0,152.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
23363.0,545.0,151.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
23494.0,545.0,151.0,513.0,319.0,25.0,34.0,beer,1,roomoffice
23625.0,545.0,152.0,513.0,320.0,25.0,34.0,beer,1,roomoffice
